bar,repeat,movement,onset
1,0,1,0.5074716556621143
2,0,1,6.521349206682522
3,0,1,11.688605442510186
4,0,1,17.338764172668917
5,0,2,19.107685311494823
6,0,2,23.437811791716545
7,0,2,24.773684807589554
8,0,2,26.108015873349192
9,0,2,27.41758503434692
10,0,2,28.68225623616098
11,0,2,30.293684807589553
12,0,2,31.626473923235814
13,0,2,32.89114512504987
14,0,2,34.45613378718139
15,0,2,35.78892290282765
16,0,2,37.26257369647845
17,0,2,38.85540816359863
18,0,2,40.26248299353059
19,0,2,42.01168934273695
20,0,2,43.41722222255554
21,0,2,44.75309523842854
22,0,2,46.1183560094036
23,0,2,47.36751700713602
24,0,2,48.746746032079336
25,0,3,53.078174603507875
26,0,3,59.39953514772554
27,0,3,63.75663265339424
28,0,3,70.17858276677316
29,0,4,73.92325396858726
30,0,4,75.25912698446028
31,0,4,76.57178004568476
32,0,4,77.9989909300385
33,0,4,79.23890022709068
34,0,4,80.69241496631969
35,0,4,82.11808390056005
36,0,4,83.64125850373468
37,0,4,85.25268707516322
38,0,4,86.70157596405213
39,0,4,88.0575850343469
40,0,4,89.5296938778843
41,0,4,90.98012471688659
42,0,4,92.33767573729475
43,0,4,93.6487868484059
44,0,4,95.25867346972106
45,0,4,96.63790249466433
46,0,4,97.90103174636506
47,0,4,99.1409410434172
48,0,4,100.42729024976637
49,0,4,101.82973922935824
50,0,4,103.13930839035598
51,0,4,104.49685941076415
52,0,4,106.17640589602489
53,0,4,107.92715419534464
54,0,4,109.61286848105894
55,0,4,111.08960317493651
56,0,5,116.554002267907
57,0,5,123.16851473956233
58,0,5,128.41150793684125
59,0,5,134.32942176904078
60,0,5,139.5785827667732
61,0,5,144.87418367380266
62,0,6,152.4871541953446
63,0,6,154.3338662134852
64,0,6,155.73939909330383
65,0,6,157.08143990963035
66,0,6,158.3538208620113
67,0,6,159.66339002300904
68,0,6,160.88162131552605
69,0,6,162.07509070328118
70,0,7,166.2840702951179
71,0,7,167.1447505672267
72,0,7,168.10447845838314
73,0,7,169.0626643994263
74,0,7,170.04407029511793
75,0,7,171.07500000033332
76,0,7,171.98828798219282
77,0,7,172.92325396858732
78,0,7,173.9278798189275
70,1,7,174.67554421802038
71,1,7,175.0486054425102
72,1,7,175.93867346972112
73,1,7,176.87363945611563
74,1,7,177.83182539715875
75,1,7,178.8163151930771
76,1,7,179.659943310991
77,1,7,180.61812925203398
78,1,7,181.62275510237419
79,0,7,182.48651927470974
80,0,7,182.76824263071876
81,0,7,183.68307256269168
82,0,7,184.57468254001589
83,0,7,185.51119047652384
84,0,7,186.56225623616103
85,0,7,187.52352607743077
86,0,7,188.34547619080956
87,0,7,189.32842403661454
79,1,7,190.12252834500458
80,1,7,190.35781179171667
81,1,7,191.29586167833784
82,1,7,192.21069161031068
83,1,7,193.17041950146717
84,1,7,194.19826530645577
85,1,7,195.13709264691576
86,1,7,196.02792517040143
87,1,7,197.12697278944896
88,0,7,198.26937641756692
89,0,7,198.6439795921701
90,0,7,200.29876417266888
91,0,7,201.02166666699998
92,0,7,202.07987362457976
93,0,7,203.36370748332658
94,0,7,205.08815192777092
95,0,7,205.78783446745354
96,0,7,206.8218480728957
97,0,7,208.2227551023742
98,0,7,208.5833900230091
99,0,7,210.61626093327789
100,0,7,211.5802154198345
101,0,7,212.89132653094558
102,0,7,214.24419987075768
103,0,7,215.28340677445436
104,0,7,216.29522675770303
105,0,7,217.51345805021995
106,0,7,218.65898116202877
107,0,7,219.08644173831883
108,0,7,221.09695011371204
88,1,7,222.09695011371213
89,1,7,222.4715532883152
90,1,7,224.03345805021996
91,1,7,224.91890022709075
