bar,repeat,movement,onset
1,0,1,0.9434117066825759
2,0,1,5.664772250900263
3,0,1,8.763457058156494
4,0,1,13.927538690809559
5,0,2,19.19420535747623
6,0,2,20.69261805588893
7,0,2,22.098150935707523
8,0,2,23.595021684006838
9,0,2,25.067130527544258
10,0,2,26.5872212304921
11,0,2,28.22186975656919
12,0,2,29.670758645458086
13,0,2,31.16762939375741
14,0,2,32.848717829131566
15,0,2,34.36726658196603
16,0,2,35.91057723956241
17,0,2,37.43375184273701
18,0,2,38.86404662731751
19,0,2,40.961552296251746
20,0,2,42.52962485861002
21,0,2,44.05125751167123
22,0,2,45.6022779198345
23,0,2,46.87465887221546
24,0,2,48.43964753434698
25,0,3,52.8343867633719
26,0,3,57.114568169267606
27,0,3,60.76472689942634
28,0,3,65.41642757969846
29,0,4,70.92264073162589
30,0,4,72.39783347539006
31,0,4,73.80336635520867
32,0,4,75.300237103508
33,0,4,76.88844572028802
34,0,4,78.4084003688141
35,0,4,80.04626884953973
36,0,4,81.5694434527143
37,0,4,83.25053188808847
38,0,4,84.76908064092294
39,0,4,86.33406930305445
40,0,4,87.96871782913156
41,0,4,89.62812825997057
42,0,4,91.3339786001066
43,0,4,93.0398289402427
44,0,4,95.06767474523134
45,0,4,96.77198313525403
46,0,4,98.26731193343994
47,0,4,99.7626407316259
48,0,4,101.25796952981186
49,0,4,102.96227791983449
50,0,4,104.55048653661456
51,0,4,106.09379719421091
52,0,4,108.28418268173925
53,0,4,110.42967021008393
54,0,4,112.13860445044675
55,0,4,113.68499900826988
56,0,5,117.8026407316259
57,0,5,124.16173370214743
58,0,5,130.7979241783379
59,0,5,136.94803755702276
60,0,5,142.56871782913157
61,0,5,148.60735728491392
62,0,6,155.80236862278238
63,0,6,157.30078132119505
64,0,6,158.88880853207942
65,0,6,160.3269944731225
66,0,6,161.62259538015198
67,0,6,163.14114413298645
68,0,6,164.56835501734017
69,0,6,166.15656363412023
70,0,7,170.2958833620114
71,0,7,170.57606476790707
72,0,7,171.51257270441502
73,0,7,172.40109878151242
74,0,7,173.26640490396144
75,0,7,174.11157497198863
76,0,7,175.00164299919956
77,0,7,175.82050921235142
78,0,7,176.709035289449
70,1,7,177.43347973389345
71,1,7,177.8529808676802
72,1,7,178.69660898559408
73,1,7,179.56191510804308
74,1,7,180.4040012758435
75,1,7,181.24917134387073
76,1,7,182.1339786001066
77,1,7,182.9581055842335
78,1,7,183.8930715706281
79,0,7,184.7336157883152
80,0,7,185.01533914432423
81,0,7,185.84375292253404
82,0,7,186.68245932573015
83,0,7,187.54930739829257
84,0,7,188.46105343003856
85,0,7,189.30622349806566
86,0,7,190.19783347539007
87,0,7,191.11112145724937
79,1,7,191.90522576563947
80,1,7,192.117289257703
81,1,7,192.98567928037863
82,1,7,193.76189696745357
83,1,7,194.65125751167122
84,1,7,195.5263860996918
85,1,7,196.36173370214738
86,1,7,197.18368381552608
87,1,7,198.21307157062813
88,0,7,199.61089469987976
89,0,7,200.4498969674535
90,0,7,202.6851804141656
91,0,7,203.40808290849654
92,0,7,204.48950982072495
93,0,7,206.2145228177937
94,0,7,207.70676771575287
95,0,7,208.73152962051472
96,0,7,209.85842304455096
97,0,7,211.4683096658662
98,0,7,212.7479203990484
99,0,7,213.53798005783258
100,0,7,214.5471305275442
101,0,7,216.020781321195
102,0,7,217.21111620885932
103,0,7,218.11115516984958
104,0,7,218.9318946445732
105,0,7,220.15529379285033
106,0,7,221.0267677157528
107,0,7,222.26224163865535
108,0,7,223.18150694477777
88,1,7,224.18150694477777
89,1,7,225.32236862278234
90,1,7,227.58087202414288
91,1,7,228.32699447312245
92,1,7,229.50032780645577
93,1,7,231.17987429171654
94,1,7,232.69533914432427
95,1,7,233.48790150260095
96,1,7,234.54513506269166
97,1,7,236.3640012758435
98,1,7,238.2435302056951
99,1,7,238.61541002982136
100,1,7,239.6053618200613
101,1,7,241.07901261371202
102,1,7,242.31188119597087
103,1,7,243.32761867431816
104,1,7,244.15783347539
105,1,7,245.65470422368935
106,1,7,246.7721688603377
107,1,7,247.99006577571762
108,1,7,249.23819628718138
109,0,7,250.23819628718138
110,0,7,251.2861781465918
111,0,7,253.49824163865537
112,0,7,254.1065863098571
113,0,7,255.21025977924486
114,0,7,256.96100807856465
115,0,7,258.84799220554874
116,0,7,259.6653164685873
117,0,7,260.81542984727207
118,0,7,262.31075864545807
119,0,7,264.15130286314513
120,0,7,265.3942960604239
121,0,7,266.6311214572493
122,0,7,269.23938904310415
123,0,7,269.2966996885418
124,0,7,270.72391057289565
125,0,7,271.8508039969319
126,0,7,273.5071305275441
127,0,7,274.70368381552595
128,0,7,276.06222993928964
129,0,7,276.97452281779357
109,1,7,277.97452281779357
110,1,7,279.3011441329864
111,1,7,280.90948880418824
112,1,7,281.95901261371205
113,1,7,283.03946612845135
114,1,7,284.85987429171666
115,1,7,286.9558380105375
116,1,7,287.5641826817394
117,1,7,288.7607359697211
118,1,7,290.1399649946644
119,1,7,291.53933007402964
120,1,7,292.73588336201135
121,1,7,294.06558857743084
122,1,7,296.6853159809371
123,1,7,296.7311668087235
124,1,7,298.158819273218
125,1,7,299.2963324522165
126,1,7,300.89515773842857
127,1,7,302.18459084500466
128,1,7,303.48594704045075
129,1,7,304.6411894844603
70,2,7,305.7795114799279
71,2,7,307.22168835067345
72,2,7,308.25107610577567
73,2,7,309.09316227357596
74,2,7,309.958468396025
75,2,7,310.8036384640523
76,2,7,311.7169264459116
77,2,7,312.5590126137122
78,2,7,313.44255002867806
70,3,7,314.2184230445512
71,3,7,314.4753844957982
72,3,7,315.36545252300925
73,3,7,316.230758645458
74,3,7,317.0895795071361
75,3,7,317.91801488128584
76,3,7,318.80808290849666
77,3,7,319.6269491216487
78,3,7,320.58513506269173
79,2,7,321.5417790536214
80,2,7,321.800282454982
81,2,7,322.6222325683605
82,2,7,323.53821060869956
83,2,7,324.3342507089501
84,2,7,325.33887655929027
85,2,7,326.16206554220054
86,2,7,327.00599674069616
87,2,7,327.91928472255574
79,3,7,328.6437291670001
80,3,7,328.92545252300914
81,3,7,329.7474026363879
82,3,7,330.5693527497665
83,3,7,331.41298086768035
84,3,7,332.2782869901293
85,3,7,333.2627767860477
86,3,7,334.10794685407495
87,3,7,335.3927541103109
