bar,repeat,movement,onset
1,0,1,0.9902375283446894
2,0,1,5.688378117913852
3,0,1,8.734818027210903
4,0,1,13.293638888888909
5,0,2,14.040905431869737
6,0,2,20.41436451247168
7,0,2,22.098536848072584
8,0,2,23.5954075963719
9,0,2,25.06751643990932
10,0,2,26.657267006802748
11,0,2,28.24547562358278
12,0,2,29.694364512471672
13,0,2,31.16801530612247
14,0,2,32.84910374149663
15,0,2,34.41409240362814
16,0,2,35.93418310657599
17,0,2,37.45735770975058
18,0,2,38.86443253968257
19,0,2,41.05481802721089
20,0,2,42.576450680272124
21,0,2,44.121303287981874
22,0,2,45.60266383219956
23,0,2,46.898264739229056
24,0,2,48.46325340136057
25,0,3,52.88121258503402
26,0,3,57.1381740362812
27,0,3,60.765112811791404
28,0,3,65.25427380952384
29,0,4,65.48690343915345
30,0,4,72.11957993197281
31,0,4,73.7805323129252
32,0,4,75.30062301587306
33,0,4,76.86561167800456
34,0,4,78.41200623582769
35,0,4,80.09309467120184
36,0,4,81.61626927437644
37,0,4,83.27413775510206
38,0,4,84.79268650793652
39,0,4,86.35767517006803
40,0,4,88.01554365079367
41,0,4,89.67495408163268
42,0,4,91.35758446712022
43,0,4,93.04021485260776
44,0,4,95.0680606575964
45,0,4,96.7725449563664
46,0,4,98.29091780045351
47,0,4,99.78624659863948
48,0,4,101.2351354875284
49,0,4,102.96266383219955
50,0,4,104.55087244897962
51,0,4,106.09418310657598
52,0,4,108.30778854875284
53,0,4,110.40683616780048
54,0,4,112.13899036281181
55,0,4,113.68538492063495
56,0,5,117.75658673469387
57,0,5,124.27821938775512
58,0,5,130.70543027210888
59,0,5,136.92520351473925
60,0,5,142.54588378684807
61,0,5,148.6309631519275
62,0,6,155.61699489795922
63,0,6,157.34760714285716
64,0,6,158.9156797052154
65,0,6,160.32738038548754
66,0,6,161.64903117913835
67,0,6,163.14153004535152
68,0,6,164.59196088435377
69,0,6,166.1801695011338
70,0,7,169.90153004535148
71,0,7,170.6228905895692
72,0,7,171.55939852607713
73,0,7,172.42470464852602
74,0,7,173.29001077097502
75,0,7,174.1584007936507
76,0,7,175.14134863945577
77,0,7,175.844115079365
78,0,7,176.70942120181402
70,1,7,177.5499654195011
71,1,7,177.85336678004523
72,1,7,178.72021485260768
73,1,7,179.58552097505662
74,1,7,180.42760714285714
