bar,repeat,movement,onset
1,0,1,15.183314058623516
2,0,1,18.95265646225164
3,0,1,23.113654194677938
4,0,1,27.37061564592511
5,0,2,30.810252834133724
6,0,2,32.726624716219895
7,0,2,34.17859750533554
8,0,2,35.67546825363486
9,0,2,37.21723696111784
10,0,2,38.667667800120114
11,0,2,40.25587641690016
12,0,2,41.84408503368021
13,0,2,43.248075963385425
14,0,2,44.81306462551695
15,0,2,46.35483333299994
16,0,2,47.92136394524483
17,0,2,49.56063832166207
18,0,2,51.01415306089109
19,0,2,52.76335941009744
20,0,2,54.30821201780721
21,0,2,55.94594444411105
22,0,2,57.354198412365015
23,0,2,58.76934580465527
24,0,2,60.35755442143532
25,0,3,63.73061564592509
26,0,3,67.26775850306797
27,0,3,71.52163605408839
28,0,3,75.68571768674144
29,0,4,78.40553628084575
30,0,4,80.46122789082307
31,0,4,81.9828605438843
32,0,4,83.50295124683213
33,0,4,85.1143798182607
34,0,4,86.47501473889564
35,0,4,88.29542290216095
36,0,4,89.95791723322668
37,0,4,91.54612585000675
38,0,4,93.20399433073236
39,0,4,94.76898299286384
40,0,4,96.40363151894095
41,0,4,97.9237222218888
42,0,4,99.46703287948515
43,0,4,100.87102380919038
44,0,4,102.66667006769377
45,0,4,104.1387789112312
46,0,4,105.5644478454716
47,0,4,107.03655668900896
48,0,4,108.53188548719491
49,0,4,110.00399433073235
50,0,4,111.47610317426971
51,0,4,112.97297392256907
52,0,4,114.90793990896363
53,0,4,116.54258843504071
54,0,4,118.27474263005207
55,0,4,119.8211371878752
56,0,5,122.40626190442849
57,0,5,128.57959523776185
58,0,5,134.1476678001201
59,0,5,139.53152267540352
60,0,5,144.85034353708156
61,0,5,150.16916439875953
62,0,6,155.5297993193944
63,0,6,156.98177210851014
64,0,6,158.4569648522743
65,0,6,159.86866553254637
66,0,6,161.21070634887295
67,0,6,162.68281519241035
68,0,6,164.22612585000672
69,0,6,165.7678945574898
70,0,7,169.53569501100446
71,0,7,170.04807596338546
72,0,7,171.054243763839
73,0,7,171.9892097502335
74,0,7,172.94739569127665
75,0,7,173.8622256232494
76,0,7,174.79873355975738
77,0,7,175.73369954615188
78,0,7,176.691885487195
70,1,7,177.2537902490997
71,1,7,177.8126111107777
72,1,7,178.79555895658277
73,1,7,179.73052494297727
74,1,7,180.6422709747233
75,1,7,181.55710090669612
76,1,7,182.49360884320413
77,1,7,183.42857482959857
78,1,7,184.3635408159932
79,0,7,184.9486655325464
80,0,7,185.36970861644667
81,0,7,186.40063832166211
82,0,7,187.31546825363492
83,0,7,188.29841609943983
84,0,7,189.23338208583448
85,0,7,190.19465192710425
86,0,7,191.1559217683741
87,0,7,192.11564965953062
79,1,7,193.04907369581179
80,1,7,193.28435714252376
81,1,7,194.29206689309066
82,1,7,195.20689682506344
83,1,7,196.1898446708685
84,1,7,197.124810657263
85,1,7,198.133315802911
86,1,7,199.07057029445124
87,1,7,200.03029818560768
88,0,7,201.03338208583443
89,0,7,201.43120521508615
90,0,7,202.87701020374823
91,0,7,203.46059297018817
92,0,7,204.4713866209818
93,0,7,205.54721428538096
94,0,7,206.71437981826068
95,0,7,207.59982199513146
96,0,7,208.6106156459251
97,0,7,209.77932312891838
98,0,7,211.04101800198944
99,0,7,211.96266118636345
100,0,7,213.02068367313603
101,0,7,214.05315532846478
102,0,7,215.26670138180674
103,0,7,216.21347937831263
104,0,7,217.1551961447914
105,0,7,218.28054761871428
106,0,7,219.3610011334535
107,0,7,220.52759738598957
108,0,7,221.44608049853292
88,1,7,222.32998072529028
89,1,7,222.61170408129928
90,1,7,223.68598979558502
91,1,7,224.61787188175288
92,1,7,225.65188548719502
93,1,7,226.75093310624257
94,1,7,227.91809863912246
95,1,7,228.75710090669614
96,1,7,229.81433446678687
97,1,7,230.9133820858344
98,1,7,232.58155792290435
99,1,7,233.0478976851776
100,1,7,233.94576303821535
101,1,7,235.11755442143533
102,1,7,236.350483664989
103,1,7,237.25050246791054
104,1,7,238.17315532846482
105,1,7,239.27528684773915
106,1,7,240.3557403624784
107,1,7,241.47232551906356
108,1,7,242.53369954615184
109,0,7,243.46403968220625
110,0,7,243.88508276610656
111,0,7,245.2380079361745
112,0,7,245.91601247132195
113,0,7,246.97324603141263
114,0,7,248.07383560057372
115,0,7,249.28744104275052
116,0,7,250.24408503368028
117,0,7,251.30131859377096
118,0,7,252.4715680268775
119,0,7,253.61551360510884
120,0,7,254.67274716519952
121,0,7,255.7470328794852
122,0,7,256.87392630352156
123,0,7,257.9482120178071
124,0,7,259.0967834463786
125,0,7,260.1540170064694
126,0,7,261.34594444411107
127,0,7,262.4496179134988
128,0,7,263.5328325673257
129,0,7,264.6043571425238
109,1,7,265.41859750533547
110,1,7,265.67710090669607
111,1,7,266.93714625817
112,1,7,267.73125056656
113,1,7,268.7884841266507
114,1,7,269.9355136051089
115,1,7,271.19555895658266
116,1,7,272.0593231289184
117,1,7,273.116556689009
118,1,7,274.33324603141267
119,1,7,275.43075170034695
120,1,7,276.464765305789
121,1,7,277.5854909293718
122,1,7,278.5730646255171
123,1,7,279.69379024909966
124,1,7,280.7959217683742
125,1,7,281.85315532846477
126,1,7,283.0915226754035
127,1,7,284.2416360540884
128,1,7,285.3386976847108
129,1,7,287.9946070969116
70,2,7,288.0061013497852
71,2,7,288.01759560265873
72,2,7,289.0310238091903
73,2,7,290.01242970488204
74,2,7,291.0170555552222
75,2,7,291.931885487195
76,2,7,292.914833333
77,2,7,293.8497993193946
78,2,7,294.76154535114046
70,3,7,295.1376904758572
71,3,7,295.8822709747233
72,3,7,296.8419988658797
73,3,7,297.7537448976258
74,3,7,298.6887108840204
75,3,7,299.6035408159933
76,3,7,300.54004875250115
77,3,7,301.8233140586236
78,3,7,302.317100906696
79,2,7,303.06476530578914
80,2,7,303.36970861644676
81,2,7,304.2845385484194
82,2,7,305.2225884350408
83,2,7,306.2055362808457
84,2,7,307.1405022672403
85,2,7,308.82159070261457
86,2,7,312.9407743760838
87,2,7,313.9005022672404
79,3,7,314.44149587680533
80,3,7,314.8137902490998
81,3,7,315.7286201810724
82,3,7,316.68989002234235
83,3,7,318.09079705182074
84,3,7,323.0660351470589
85,3,7,329.066035147059
86,3,7,335.06603514705887
87,3,7,340.066035147059
