bar,repeat,movement,onset
1,0,1,0.5256704931972382
2,0,1,3.7145140306122038
3,0,1,6.250114937641682
4,0,1,9.578278202947805
5,0,2,13.110795209750526
6,0,2,14.5859879535147
7,0,2,15.921860969387716
8,0,2,17.23297208049883
9,0,2,18.588981150793607
10,0,2,19.83043239795915
11,0,2,21.302541241496563
12,0,2,22.588890447845763
13,0,2,23.900001558956877
14,0,2,25.279230583900183
15,0,2,26.658459608843504
16,0,2,27.969570719954604
17,0,2,29.283765731292483
18,0,2,30.528300878684764
19,0,2,32.13818749999996
20,0,2,33.52050042517002
21,0,2,34.9028133503401
22,0,2,36.105534438775464
23,0,2,37.215375708616726
24,0,2,38.478504960317416
25,0,3,41.642586592970474
26,0,3,44.73855031179134
27,0,3,46.74009226190472
28,0,3,50.021815617913795
29,0,4,53.43823285147389
30,0,4,54.913425595238046
31,0,4,56.272518565759604
32,0,4,57.63006958616776
33,0,4,59.0325185657596
34,0,4,60.277053713151886
35,0,4,61.67950269274371
36,0,4,63.016917658730115
37,0,4,64.48902650226754
38,0,4,65.89147548185937
39,0,4,67.22426459750562
40,0,4,68.62671357709748
41,0,4,69.91460473356005
42,0,4,71.1096160714285
43,0,4,72.44394713718818
44,0,4,73.89129407596369
45,0,4,75.2008632369614
46,0,4,76.51043239795914
47,0,4,77.79678160430836
48,0,4,79.17601062925166
49,0,4,80.5087997448979
50,0,4,81.81836890589565
51,0,4,83.08304010770969
52,0,4,84.6232668650793
53,0,4,86.18825552721086
54,0,4,87.66499022108839
55,0,4,89.04884509637185
56,0,5,92.00548908730156
57,0,5,96.71596527777774
58,0,5,100.8444006519274
59,0,5,105.2762373866213
60,0,5,109.1089811507936
61,0,5,113.4990038265306
62,0,6,118.53455938208616
63,0,6,120.17229180839
64,0,6,121.53138477891152
65,0,6,122.7108859126984
66,0,6,123.84394713718815
67,0,6,125.33927593537416
68,0,6,126.78970677437637
69,0,6,128.37791539115642
70,0,7,132.30825552721086
71,0,7,133.21537570861676
72,0,7,134.10544373582763
73,0,7,134.92430994897956
74,0,7,135.74317616213153
75,0,7,136.61156618480726
76,0,7,137.45519430272114
77,0,7,138.2972804705215
78,0,7,139.00004691043085
70,1,7,139.9566909013606
71,1,7,140.21365235260768
72,1,7,140.94118069727895
73,1,7,141.89936663832205
74,1,7,142.55569316893425
75,1,7,143.51696301020405
76,1,7,144.38381108276647
77,1,7,145.20267729591833
78,1,7,145.9983235544218
79,0,7,146.88530768140595
80,0,7,147.09737117346936
81,0,7,147.91932128684815
82,0,7,148.7644913548753
83,0,7,149.5848995181406
84,0,7,150.4037657312925
85,0,7,151.1792759353741
86,0,7,152.00122604875287
87,0,7,152.84485416666666
79,1,7,153.77827820294786
80,1,7,153.99034169501138
81,1,7,154.78907185374152
82,1,7,155.56458205782312
83,1,7,156.408210175737
84,1,7,157.20385643424032
85,1,7,157.93372407121763
86,1,7,158.80131675170068
87,1,7,159.71460473356012
88,0,7,161.53038704648526
89,0,7,161.88177026643993
90,0,7,163.0257158446713
91,0,7,163.72539838435372
92,0,7,164.62106373821453
93,0,7,165.95133942743766
94,0,7,166.97918523242632
95,0,7,168.05038704648524
96,0,7,169.01474078798182
97,0,7,170.3692079081633
98,0,7,171.19080422540497
99,0,7,172.484355701794
100,0,7,173.37836890589568
101,0,7,174.94489951814057
102,0,7,176.2049896746851
103,0,7,177.10555320490263
104,0,7,178.00050042517012
105,0,7,179.26517162698414
106,0,7,180.18308545918367
107,0,7,181.04812782700796
108,0,7,182.15206505102043
88,1,7,183.3610446428572
89,1,7,183.9910673185942
90,1,7,185.08857298752832
91,1,7,185.90435530045352
92,1,7,186.82226913265308
93,1,7,188.2696160714286
94,1,7,189.6922011054422
95,1,7,190.48476346371885
96,1,7,191.51877706916105
97,1,7,192.8732441893424
98,1,7,194.1771634609785
99,1,7,195.00761503709668
100,1,7,195.85918523242637
101,1,7,197.26317616213151
102,1,7,198.38023020597123
103,1,7,199.280043000821
104,1,7,200.1562373866213
105,1,7,201.16548908730164
106,1,7,202.03696301020418
107,1,7,203.1060527413346
108,1,7,204.0059426020408
109,0,7,205.0059426020408
110,0,7,205.42698568594108
111,0,7,206.52449135487535
112,0,7,207.45791539115646
