bar,repeat,movement,onset
1,0,1,0.5713832196213131
2,0,1,3.7137868477392275
3,0,1,6.249387754768704
4,0,1,9.600770974723353
5,0,2,13.11006802687755
6,0,2,14.58526077064172
7,0,2,15.897913831866212
8,0,2,17.209024942977326
9,0,2,18.588253967920632
10,0,2,19.852925169734696
11,0,2,21.301814058623584
12,0,2,22.611383219621313
13,0,2,23.899274376083902
14,0,2,25.301723355675726
15,0,2,26.634512471322
16,0,2,27.992063491730153
17,0,2,29.25981859377098
18,0,2,30.527573695811785
19,0,2,32.16068027177551
20,0,2,33.51977324229705
21,0,2,34.90208616746712
22,0,2,36.1048072559025
23,0,2,37.19142857109522
24,0,2,38.6170975053356
25,0,3,41.66507936474601
26,0,3,44.71460317426984
27,0,3,46.739365079031735
28,0,3,49.99786848039229
29,0,4,53.46072562324944
30,0,4,54.912698412365074
31,0,4,56.2485714282381
32,0,4,57.62934240329478
33,0,4,59.0085714282381
34,0,4,60.27632653027891
35,0,4,61.67877550987074
36,0,4,62.99297052120861
37,0,4,64.46507936474603
38,0,4,65.8907482989864
39,0,4,67.20031745998412
40,0,4,68.62598639422448
41,0,4,69.91387755068708
42,0,4,71.13210884320405
43,0,4,72.4432199543152
44,0,4,73.86734693844218
45,0,4,75.2001360540884
46,0,4,76.50970521508616
47,0,4,77.84249433073245
48,0,4,79.12884353708164
49,0,4,80.50807256202494
50,0,4,81.81764172302267
51,0,4,83.08231292483671
52,0,4,84.64575963685488
53,0,4,86.18752834433788
54,0,4,87.61782312891836
55,0,4,89.02489795885035
56,0,5,92.02798185907709
57,0,5,96.73845804955327
58,0,5,100.913333333
59,0,5,105.29873015839685
60,0,5,109.0850340132721
61,0,5,113.52149659830613
62,0,6,118.76603174569844
63,0,6,120.1483446708685
64,0,6,121.53065759603852
65,0,6,122.71015872982544
66,0,6,123.86643990896373
67,0,6,125.33854875250117
68,0,6,126.78897959150339
69,0,6,128.44684807222905
70,0,7,132.93446711984805
71,0,7,133.19142857109526
72,0,7,134.10471655295467
73,0,7,134.9235827661066
74,0,7,135.74244897925857
75,0,7,136.61083900193424
76,0,7,137.45446711984812
77,0,7,138.29655328764855
78,0,7,139.02253968220637
70,1,7,139.93274376383906
71,1,7,140.18970521508618
72,1,7,141.01011337835152
73,1,7,141.87541950080052
74,1,7,142.55496598606126
75,1,7,143.5162358273311
76,1,7,144.3830838998935
77,1,7,145.17873015839683
78,1,7,145.97437641690027
79,0,7,146.86136054388442
80,0,7,147.08892791191684
81,0,7,147.8953741493266
82,0,7,148.78698412665085
83,0,7,149.56095238061906
84,0,7,150.40303854841954
85,0,7,151.29464852574378
86,0,7,152.07015872982547
87,0,7,152.84412698379364
79,1,7,153.79960747484066
80,1,7,153.96194579385732
81,1,7,154.76512471622
82,1,7,155.5638548749501
83,1,7,156.3842630382155
84,1,7,157.19655328764853
85,1,7,158.2116358921189
86,1,7,158.77736961417915
87,1,7,159.6674376413901
88,0,7,161.13492063458733
89,0,7,161.83460317426986
90,0,7,163.18752834433798
91,0,7,163.7014512468322
92,0,7,164.6203358457168
93,0,7,165.90417233526762
94,0,7,167.0016780042019
95,0,7,168.0264399089637
96,0,7,169.01401360510883
97,0,7,170.50780045318146
98,0,7,171.1205858229832
99,0,7,172.36827881264114
100,0,7,173.37764172302272
101,0,7,174.94417233526755
102,0,7,176.06523795912187
103,0,7,177.15107414360997
104,0,7,177.99977324229712
105,0,7,179.2412244894626
106,0,7,180.2055782309592
107,0,7,181.13912279033548
108,0,7,182.29065759603859
88,1,7,183.2906575960386
89,1,7,183.99034013572114
90,1,7,185.1575056686009
91,1,7,185.88040816293199
92,1,7,186.8215419497801
93,1,7,188.2224489792585
94,1,7,189.66825396792066
95,1,7,190.46081632619732
96,1,7,191.49482993163952
97,1,7,192.87251700646937
98,1,7,194.10363974616357
99,1,7,194.96112730773277
100,1,7,195.83523809490484
101,1,7,197.2856689339071
102,1,7,198.26369386380009
103,1,7,199.27911564592517
104,1,7,200.1555102037483
105,1,7,201.16476190442862
106,1,7,201.98979591803413
107,1,7,202.92070067993873
108,1,7,204.05165532846488
109,0,7,205.05165532846488
110,0,7,205.42625850306806
111,0,7,206.6630838998935
112,0,7,207.43396825363493
113,0,7,208.39832199513157
114,0,7,209.77755102007487
115,0,7,210.9911564622517
116,0,7,211.76204081599323
117,0,7,212.74961451213835
118,0,7,214.2913832196213
119,0,7,215.4121088432041
120,0,7,216.44728702970505
121,0,7,217.52040816293203
122,0,7,218.53120181372566
123,0,7,219.5590476187143
124,0,7,220.70770975023356
125,0,7,221.5790929701883
126,0,7,222.81746031712703
127,0,7,223.75859410397507
128,0,7,224.5854949909121
129,0,7,225.79723355975744
109,1,7,226.79723355975744
110,1,7,227.42725623549435
111,1,7,228.7801814055624
112,1,7,229.41174603141272
113,1,7,230.2599999996667
114,1,7,231.54634920601598
115,1,7,232.71351473889573
116,1,7,233.49918367313612
117,1,7,234.37909297018817
118,1,7,236.0601814055624
119,1,7,237.32022675703638
120,1,7,238.37746031712695
121,1,7,239.4749659860612
122,1,7,240.68906923976584
123,1,7,241.58326530578924
124,1,7,242.73183673436066
125,1,7,243.71941043050563
126,1,7,245.00421768674147
127,1,7,245.87569160964404
128,1,7,246.64579968750715
129,1,7,248.30907029445123
70,2,7,249.30907029445132
71,2,7,250.30907029445123
72,2,7,251.19913832166205
73,2,7,251.857677119295
74,2,7,252.69755102007485
75,2,7,253.56594104275067
76,2,7,254.40956916066443
77,2,7,255.15877550987088
78,2,7,255.83832199513157
70,3,7,256.6556462581702
71,3,7,256.8893877547687
72,3,7,257.6633560087369
73,3,7,258.4357823125918
74,3,7,259.0688888885556
75,3,7,260.03015872982553
76,3,7,260.8505668930908
77,3,7,261.59977324229715
78,3,7,262.27931972755795
79,2,7,263.0502040812994
80,2,7,263.23505247026736
81,2,7,264.0609977320929
82,2,7,264.8365079361747
83,2,7,265.5640362808458
84,2,7,266.35968253934925
85,2,7,267.181632652728
86,2,7,267.933922902161
87,2,7,268.73111111077793
79,3,7,269.9663945574899
80,3,7,270.15523809490486
81,3,7,271.0700680268778
82,3,7,271.72947845771654
83,3,7,272.59632653027893
84,3,7,273.41519274343085
85,3,7,274.28358276610663
86,3,7,275.0126530608913
87,3,7,276.48321995431536
