bar,repeat,movement,onset
1,0,1,1.7084742066825171
2,0,1,5.996365363145103
3,0,1,10.079993481058935
4,0,1,15.113553571761885
5,0,2,18.75183021575281
6,0,2,20.830741780378663
7,0,2,22.050515023009044
8,0,2,23.790399582893606
9,0,2,25.019494614845783
10,0,2,26.516365363145102
11,0,2,28.220673753167773
12,0,2,29.692782596705197
13,0,2,31.16643339035599
14,0,2,32.824301871081616
15,0,2,34.273190759970504
16,0,2,35.81650141756688
17,0,2,37.22357624749885
18,0,2,38.63065107743083
19,0,2,40.89069642890475
20,0,2,42.458768991263014
21,0,2,43.9571816896757
22,0,2,45.229562642056656
23,0,2,46.548383503734655
24,0,2,47.89262710593746
25,0,3,51.87137670101347
26,0,3,56.72071910464171
27,0,3,61.25114994364395
28,0,3,66.94774858309975
29,0,4,70.52670549919951
30,0,4,72.35019756269159
31,0,4,73.94149007969837
32,0,4,75.24624243678159
33,0,4,76.77114994364396
34,0,4,78.15500481892742
35,0,4,79.53423384387072
36,0,4,80.94130867380271
37,0,4,82.27409778944896
38,0,4,83.60688690509522
39,0,4,85.03255583933557
40,0,4,86.48144472822447
41,0,4,88.02475538582085
42,0,4,89.49840617947169
43,0,4,91.0184968824195
44,0,4,92.86058305021996
45,0,4,94.35591184840591
46,0,4,95.68870096405216
47,0,4,97.11436989829251
48,0,4,98.58647874182994
49,0,4,100.01214767607031
50,0,4,101.2984968824195
51,0,4,102.6560479028277
52,0,4,105.49659212051478
53,0,4,108.22257851507253
54,0,4,109.83863293684125
55,0,4,111.22248781212468
56,0,5,114.85251048786165
57,0,5,121.35092318627439
58,0,5,126.64035629285037
59,0,5,133.23164880985715
60,0,5,137.66811139489116
61,0,5,142.3135535717619
62,0,6,147.53486876450566
63,0,6,149.28870096405214
64,0,6,150.6477939345737
65,0,6,151.94339484160318
66,0,6,153.19255583933557
67,0,6,154.64144472822449
68,0,6,156.09187556722677
69,0,6,157.44788463752153
70,0,7,160.72806604341724
71,0,7,161.58874631552607
72,0,7,162.36271456949433
73,0,7,163.0190411001066
74,0,7,163.9929124668351
75,0,7,164.63663747198865
76,0,7,165.41060572595688
77,0,7,166.0901522112177
78,0,7,166.9090184243696
70,1,7,167.72634268740813
71,1,7,167.89042432006121
72,1,7,168.66439257402953
73,1,7,169.34393905929025
74,1,7,170.26250636500038
75,1,7,170.9383154765238
76,1,7,171.68906377584352
77,1,7,172.43827012504988
78,1,7,173.2106964289048
79,0,7,173.93514087334918
80,0,7,174.17042432006122
81,0,7,174.99237443343986
82,0,7,175.81175533308658
83,0,7,176.58829280078686
84,0,7,177.4768188778844
85,0,7,178.2755490366145
86,0,7,179.0974991499932
87,0,7,179.89468735860999
79,1,7,180.82811139489124
80,1,7,181.0401748869546
81,1,7,181.83890504568487
82,1,7,182.66085515906354
83,1,7,183.43482341303172
84,1,7,184.30012953548072
85,1,7,185.07563973956232
86,1,7,185.92080980758962
87,1,7,186.71799801620634
88,0,7,188.09260119080957
89,0,7,188.35110459217012
90,0,7,189.6343698982925
91,0,7,190.38049234727208
92,0,7,191.25293905929024
93,0,7,192.35101388922226
94,0,7,193.70393905929024
95,0,7,194.49650141756692
96,0,7,195.43763520441493
97,0,7,196.6063426874082
98,0,7,197.76730530901597
99,0,7,198.67499298810813
100,0,7,199.52262386654647
101,0,7,200.764075113712
102,0,7,200.86343357932046
103,0,7,202.66073724523127
104,0,7,203.79645606609293
105,0,7,204.89858758536738
106,0,7,205.909381236161
107,0,7,206.98386955962886
108,0,7,207.87836082799782
88,1,7,208.87836082799768
89,1,7,209.11364427470969
90,1,7,210.32724971688666
91,1,7,211.16625198446036
92,1,7,212.10738577130843
93,1,7,213.25287329965306
94,1,7,214.55935856042407
95,1,7,215.28226105475508
96,1,7,216.36271456949436
97,1,7,217.3456624152993
98,1,7,218.44067962218205
99,1,7,219.34048662726636
100,1,7,220.21550368514056
101,1,7,221.45695493230616
102,1,7,223.27008374512158
103,1,7,223.31582754117872
104,1,7,224.5357757939841
105,1,7,225.66112726790703
106,1,7,226.6719209187006
107,1,7,227.83480527244214
108,1,7,228.66412046518596
109,0,7,229.61768055588885
110,0,7,229.87618395724945
111,0,7,231.25232908196597
112,0,7,231.99999348105897
113,0,7,233.01078713185262
114,0,7,234.11137670101357
115,0,7,235.39464200713604
116,0,7,236.2584061794717
117,0,7,237.26919983026528
118,0,7,238.4162293087233
119,0,7,239.1965443042868
120,0,7,240.54774858309978
121,0,7,241.64525425203396
122,0,7,242.7024878121248
123,0,7,243.9160932543016
124,0,7,245.1807644561156
125,0,7,246.12189824296365
126,0,7,247.29060572595694
127,0,7,248.20851955815647
128,0,7,249.3597201787556
129,0,7,250.24715901393887
109,1,7,251.24715901393887
110,1,7,251.48244246065073
111,1,7,252.95146740396146
112,1,7,253.60625198446024
113,1,7,254.59382568060548
114,1,7,255.7872950683606
115,1,7,257.25632001167116
116,1,7,257.8878846375216
117,1,7,258.87545833366664
118,1,7,259.9760479028277
119,1,7,261.05033361711344
120,1,7,262.0843472225555
121,1,7,263.20507284613825
122,1,7,264.2623064062291
123,1,7,265.59201162164845
124,1,7,267.15854223389323
125,1,7,268.09373497765756
126,1,7,269.17550368514054
127,1,7,270.07019756269165
128,1,7,271.1864940553146
129,1,7,272.64289597539
70,2,7,275.50049234727214
71,2,7,276.3379526647324
72,2,7,277.55310005702256
73,2,7,278.348746315526
74,2,7,279.0941431409229
75,2,7,279.78058305022006
76,2,7,280.50811139489116
77,2,7,281.14121797085494
78,2,7,281.72788463752147
70,3,7,282.405889172669
71,3,7,282.5467508506734
72,3,7,283.251059240696
73,3,7,283.8841658166598
74,3,7,284.6206964289047
75,3,7,285.22312273275975
76,3,7,285.92743112278237
77,3,7,286.56053769874615
78,3,7,287.14720436541256
79,2,7,287.8948687645057
80,2,7,288.1069322565693
81,2,7,288.7998662757052
82,2,7,289.47334268740815
83,2,7,290.1765014175668
84,2,7,290.94892772142174
85,2,7,291.6557597875816
86,2,7,292.3374084470453
87,2,7,293.0649367917166
79,3,7,293.7458100712609
80,3,7,293.931784864279
81,3,7,294.79085275810303
82,3,7,295.27382568060534
83,3,7,295.931694161331
84,3,7,296.70412046518595
85,3,7,297.47963066926764
86,3,7,301.08797534046926
87,3,7,308.2009912134853
