bar,repeat,movement,onset
1,0,1,1.8829645924765166
2,0,1,6.047046225129578
3,0,1,10.091944184313252
4,0,1,15.231263912204408
5,0,2,19.297839875923234
6,0,2,21.028428561613953
7,0,2,22.01602581696631
8,0,2,23.55933647456268
9,0,2,24.985005408803048
10,0,2,26.551536021047948
11,0,2,28.209404501773562
12,0,2,29.658293390662465
13,0,2,31.15516413896178
14,0,2,32.8130326196874
15,0,2,34.26192150857629
16,0,2,35.78201221152415
17,0,2,37.189087041456105
18,0,2,38.64260178068514
19,0,2,40.972306996104635
20,0,2,42.42427978522028
21,0,2,43.89947252898443
22,0,2,45.218293390662446
23,0,2,46.51389429769192
24,0,2,47.86990336798671
25,0,3,51.92831606639939
26,0,3,56.692488402000336
27,0,3,61.250220828304116
28,0,3,66.7693137988255
29,0,4,70.97983534077582
30,0,4,72.31570835664886
31,0,4,73.72124123646742
32,0,4,75.1716720754697
33,0,4,76.73666073760123
34,0,4,78.14373556753323
35,0,4,79.52296459247651
36,0,4,80.90681946775997
37,0,4,82.2163886287577
38,0,4,83.57239769905249
39,0,4,84.97484667864431
40,0,4,86.44695552218174
41,0,4,88.03670608907518
42,0,4,89.46391697342895
43,0,4,91.00722763102529
44,0,4,92.84931379882573
45,0,4,94.32142264236317
46,0,4,95.723871621955
47,0,4,97.1031006468983
48,0,4,98.57520949043574
49,0,4,99.97765847002758
50,0,4,101.26400767637676
51,0,4,102.64477865143347
52,0,4,105.36922309587791
53,0,4,108.2577491729754
54,0,4,109.92024350404115
55,0,4,111.21121856073047
56,0,5,114.65548159927923
57,0,5,121.36287388952871
58,0,5,127.1399260437237
59,0,5,133.19715960381438
60,0,5,137.63362218884842
61,0,5,142.27906436571917
62,0,6,147.70935915029966
63,0,6,149.27743171265791
64,0,6,150.65974463782803
65,0,6,151.93212559020895
66,0,6,153.3234258817541
67,0,6,154.6533954314788
68,0,6,156.08060631583257
69,0,6,157.45983534077584
70,0,7,161.34373556753317
71,0,7,161.57747706413184
72,0,7,162.3514453181001
73,0,7,163.0774317126579
74,0,7,163.87307797116136
75,0,7,164.6021482659459
76,0,7,165.3993364745627
77,0,7,166.14854282376905
78,0,7,166.91407570358763
70,1,7,167.6918534813654
71,1,7,167.87915506866696
72,1,7,168.6531233226353
73,1,7,169.4023296718416
74,1,7,170.17475597569648
75,1,7,170.88060631583255
76,1,7,171.6777945244493
77,1,7,172.49666073760122
78,1,7,173.1994271775106
79,0,7,173.94709157660347
80,0,7,174.26753876323005
81,0,7,174.9578852273971
82,0,7,175.75661538612735
83,0,7,176.57702354939258
84,0,7,177.47209793687117
85,0,7,178.26427978522028
86,0,7,179.06300994395045
87,0,7,179.88341810721576
79,1,7,180.81684214349693
80,1,7,181.02890563556036
81,1,7,181.8044158396421
82,1,7,182.6495859076692
83,1,7,183.4235541616375
84,1,7,184.2888602840865
85,1,7,185.0643704881681
86,1,7,185.88632060154688
87,1,7,186.7531686741092
88,0,7,188.10455189406386
89,0,7,188.33983534077586
90,0,7,189.76242037478943
91,0,7,190.1834634586897
92,0,7,191.2184498532475
93,0,7,192.33974463782806
94,0,7,193.6694498532475
95,0,7,194.48523216617266
96,0,7,195.4263659530208
97,0,7,196.61829339066247
98,0,7,197.73454035728534
99,0,7,198.61761789239293
100,0,7,199.4881346605037
101,0,7,200.79924577161484
102,0,7,202.1056359582116
103,0,7,202.63697574648768
104,0,7,203.7851868146987
105,0,7,204.88731833397318
106,0,7,205.9213319394153
107,0,7,206.94968191143874
108,0,7,207.8670915766036
88,1,7,208.86709157660349
89,1,7,209.10237502331552
90,1,7,210.61783987592327
91,1,7,211.10854282376906
92,1,7,212.09611651991418
93,1,7,213.24160404825884
94,1,7,214.50164939973283
95,1,7,215.24777184871232
96,1,7,216.21212559020898
97,1,7,217.3343931639051
98,1,7,218.31359133388668
99,1,7,219.28347641625362
100,1,7,220.18101447909783
101,1,7,221.53856549950603
102,1,7,222.74884470321203
103,1,7,223.64679584720062
104,1,7,224.5245065425899
105,1,7,225.64985801651278
106,1,7,226.66065166730644
107,1,7,227.77757015399933
108,1,7,228.67607116844025
109,0,7,229.60641130449469
110,0,7,229.86491470585526
111,0,7,231.24105983057171
112,0,7,231.9887242296647
113,0,7,232.99534554485746
114,0,7,234.10010744961934
115,0,7,235.40659271039033
116,0,7,236.24713692807748
